ProductID,ProductName,Category,TotalRevenue,TotalQuantity,TransactionCount
PROD_00330,Decentralized uniform core,Health & Beauty,1830291.5,6667,2555
PROD_00018,Cross-platform heuristic hardware,Food & Beverages,1828023.1,6699,2567
PROD_00067,Distributed holistic task-force,Furniture,1823576.0,7078,2678
PROD_00242,Grass-roots leadingedge archive,Books & Media,1822744.9,6952,2667
PROD_00299,Pre-emptive bi-directional Internet solution,Jewelry,1821485.5,6790,2587
PROD_00346,Organic global contingency,Clothing,1816595.8,6981,2665
PROD_00448,Configurable full-range service-desk,Furniture,1814117.5,6758,2611
PROD_00202,Open-architected tangible frame,Jewelry,1810222.1,6964,2665
PROD_00234,Intuitive web-enabled intranet,Automotive,1806669.8,6713,2603
PROD_00022,Configurable neutral frame,Pet Supplies,1802709.0,6713,2609
PROD_00239,Fully-configurable scalable focus group,Pet Supplies,1800963.9,6711,2583
PROD_00045,Fundamental client-driven encryption,Sports & Outdoors,1793729.0,6788,2663
PROD_00290,Compatible optimizing solution,Automotive,1793131.9,6811,2613
PROD_00312,Enterprise-wide mobile data-warehouse,Baby Products,1788719.4,6537,2527
PROD_00037,Realigned directional software,Jewelry,1783485.2,6999,2637
PROD_00071,Customizable high-level workforce,Clothing,1776635.5,7065,2690
PROD_00364,Enhanced neutral archive,Office Supplies,1772909.8,6604,2568
PROD_00078,Down-sized empowering moderator,Food & Beverages,1769651.5,6885,2631
PROD_00206,Seamless non-volatile framework,Office Supplies,1767437.8,6992,2707
PROD_00457,Organic composite solution,Furniture,1766795.9,6752,2585
PROD_00414,Advanced neutral installation,Food & Beverages,1766157.4,6763,2670
PROD_00170,User-friendly coherent encoding,Pet Supplies,1755413.9,6987,2697
PROD_00104,Ergonomic national knowledge user,Pet Supplies,1752921.2,6657,2566
PROD_00148,Fundamental bifurcated benchmark,Furniture,1741539.9,6867,2619
PROD_00253,Ameliorated well-modulated orchestration,Automotive,1736236.9,6880,2666
PROD_00263,Persistent clear-thinking process improvement,Home & Garden,1734285.6,6791,2598
PROD_00118,Pre-emptive coherent core,Home & Garden,1733612.2,6859,2655
PROD_00021,Public-key bottom-line implementation,Tools & Hardware,1730621.4,6845,2642
PROD_00115,Persevering executive interface,Pet Supplies,1719265.9,6962,2635
PROD_00268,Enterprise-wide actuating firmware,Tools & Hardware,1717030.0,7000,2679
PROD_00249,Open-source full-range moratorium,Tools & Hardware,1704146.0,6723,2634
PROD_00434,Front-line object-oriented info-mediaries,Food & Beverages,1703966.1,6870,2651
PROD_00175,Fully-configurable encompassing complexity,Sports & Outdoors,1702527.5,6977,2683
PROD_00360,Seamless user-facing attitude,Baby Products,1693653.1,6792,2636
PROD_00101,Stand-alone bandwidth-monitored approach,Tools & Hardware,1687457.2,6659,2606
PROD_00320,Stand-alone transitional matrix,Pet Supplies,1684172.2,6688,2564
PROD_00143,Diverse leadingedge moratorium,Food & Beverages,1682392.5,6829,2634
PROD_00001,Sharable bifurcated algorithm,Toys & Games,1681773.1,7032,2719
PROD_00464,Configurable reciprocal implementation,Books & Media,1668354.6,6788,2631
PROD_00114,Adaptive human-resource firmware,Pet Supplies,1667520.2,6457,2527
PROD_00479,Implemented 3rdgeneration protocol,Toys & Games,1661693.9,6702,2591
PROD_00349,Pre-emptive asynchronous orchestration,Automotive,1661667.0,6919,2624
PROD_00271,Virtual homogeneous focus group,Food & Beverages,1652104.0,6563,2526
PROD_00286,Diverse fault-tolerant benchmark,Baby Products,1643308.1,6503,2532
PROD_00141,De-engineered grid-enabled architecture,Office Supplies,1635676.9,6802,2621
PROD_00352,Re-contextualized exuding artificial intelligence,Books & Media,1620343.4,6689,2614
PROD_00080,Quality-focused web-enabled superstructure,Books & Media,1610110.6,6828,2642
PROD_00221,Seamless zero administration archive,Clothing,1608513.5,6655,2600
PROD_00205,Synergistic value-added conglomeration,Health & Beauty,1606610.1,7137,2708
PROD_00244,Future-proofed full-range functionalities,Books & Media,1596635.6,7105,2720
PROD_00315,Grass-roots next generation access,Home & Garden,1594422.9,6721,2603
PROD_00182,Cloned zero administration focus group,Automotive,1589379.6,7111,2730
PROD_00110,Cross-group web-enabled encoding,Jewelry,1588884.5,6650,2569
PROD_00345,Horizontal methodical matrices,Baby Products,1586946.4,6601,2568
PROD_00480,Object-based even-keeled access,Clothing,1584505.6,6828,2648
PROD_00228,Vision-oriented interactive definition,Pet Supplies,1584204.9,6861,2644
PROD_00031,Synchronized encompassing standardization,Food & Beverages,1583217.6,6836,2620
PROD_00220,Balanced dynamic leverage,Toys & Games,1579069.1,6963,2664
PROD_00486,Ergonomic regional extranet,Tools & Hardware,1576512.0,7038,2719
PROD_00491,Integrated zero tolerance intranet,Clothing,1573726.4,6886,2638
PROD_00280,De-engineered methodical secured line,Automotive,1570475.8,6879,2635
PROD_00396,Customer-focused cohesive groupware,Books & Media,1565098.0,6872,2635
PROD_00165,Balanced fault-tolerant hierarchy,Health & Beauty,1564477.8,6924,2651
PROD_00038,Inverse zero administration time-frame,Toys & Games,1563387.0,6753,2632
PROD_00225,Open-architected dynamic circuit,Electronics,1559333.1,6627,2569
PROD_00019,Robust empowering workforce,Books & Media,1557256.6,6865,2652
PROD_00465,Secured systemic encoding,Food & Beverages,1556357.4,6810,2611
PROD_00452,Secured asymmetric encoding,Furniture,1550284.1,7033,2707
PROD_00336,Progressive radical forecast,Jewelry,1547780.5,6872,2623
PROD_00459,Inverse analyzing frame,Health & Beauty,1542556.4,6908,2669
PROD_00417,Distributed modular structure,Furniture,1541933.4,6693,2594
PROD_00211,Persistent leadingedge intranet,Health & Beauty,1531951.8,6738,2583
PROD_00403,Adaptive stable moratorium,Health & Beauty,1523376.8,6938,2695
PROD_00257,User-friendly user-facing moratorium,Tools & Hardware,1515905.0,6850,2617
PROD_00467,Focused maximized productivity,Jewelry,1515413.2,6695,2584
PROD_00287,Reduced 4thgeneration function,Automotive,1514846.1,6721,2600
PROD_00405,Ergonomic multi-state hierarchy,Clothing,1509708.8,6747,2644
PROD_00096,Phased incremental core,Food & Beverages,1507920.4,6715,2573
PROD_00323,Team-oriented dynamic function,Automotive,1503619.0,6727,2580
PROD_00157,Visionary clear-thinking productivity,Toys & Games,1501225.0,6625,2563
PROD_00301,Triple-buffered coherent Internet solution,Office Supplies,1499662.1,6712,2626
PROD_00168,Customer-focused heuristic time-frame,Health & Beauty,1498164.5,6768,2576
PROD_00300,Multi-lateral scalable knowledgebase,Sports & Outdoors,1493369.6,6609,2595
PROD_00484,Vision-oriented discrete portal,Sports & Outdoors,1492363.9,6538,2573
PROD_00273,Configurable methodical adapter,Electronics,1491964.1,6747,2624
PROD_00302,Enhanced upward-trending model,Sports & Outdoors,1490131.5,6947,2699
PROD_00128,Re-contextualized dynamic paradigm,Furniture,1487513.4,6712,2552
PROD_00269,Multi-tiered fresh-thinking data-warehouse,Books & Media,1487191.9,6849,2577
PROD_00224,Total human-resource methodology,Tools & Hardware,1487114.9,6816,2643
PROD_00384,User-centric fresh-thinking portal,Sports & Outdoors,1475741.2,6707,2614
PROD_00129,Right-sized 6thgeneration process improvement,Sports & Outdoors,1466477.8,6688,2551
PROD_00247,Team-oriented coherent strategy,Books & Media,1464297.8,6766,2605
PROD_00073,Front-line non-volatile artificial intelligence,Jewelry,1463628.1,7002,2698
PROD_00055,Right-sized maximized moderator,Books & Media,1456155.0,6895,2611
PROD_00070,Inverse mobile adapter,Automotive,1451814.5,6994,2671
PROD_00307,Fully-configurable background focus group,Furniture,1447562.0,6693,2577
PROD_00016,Extended well-modulated Graphical User Interface,Clothing,1438237.6,6996,2687
PROD_00162,Distributed needs-based alliance,Jewelry,1430293.5,7034,2690
PROD_00053,Synergized interactive policy,Health & Beauty,1415436.1,6804,2636
PROD_00139,Cross-platform asynchronous monitoring,Health & Beauty,1410963.0,6866,2675
PROD_00369,Horizontal tangible knowledgebase,Furniture,1410702.2,6793,2626
PROD_00197,Optional asymmetric secured line,Office Supplies,1409243.0,6719,2568
PROD_00468,Function-based logistical extranet,Home & Garden,1408662.8,6816,2657
PROD_00353,Fully-configurable bottom-line open architecture,Home & Garden,1400632.8,6977,2698
PROD_00013,Adaptive well-modulated workforce,Food & Beverages,1397482.8,6837,2633
PROD_00455,Optional bandwidth-monitored task-force,Health & Beauty,1396323.6,6833,2636
PROD_00150,Future-proofed executive portal,Pet Supplies,1390655.6,6644,2572
PROD_00451,Pre-emptive needs-based alliance,Books & Media,1390592.8,6826,2655
PROD_00178,Exclusive logistical hardware,Sports & Outdoors,1378883.1,6510,2555
PROD_00032,Synergized secondary archive,Toys & Games,1375685.5,7031,2670
PROD_00039,Centralized discrete alliance,Automotive,1375238.1,6442,2525
PROD_00240,Visionary zero-defect model,Pet Supplies,1374572.4,6627,2567
PROD_00086,Mandatory 3rdgeneration parallelism,Books & Media,1369538.4,7015,2705
PROD_00476,Polarized bi-directional encoding,Office Supplies,1349847.5,6575,2525
PROD_00214,Switchable attitude-oriented forecast,Electronics,1349233.5,6685,2584
PROD_00112,Polarized didactic initiative,Toys & Games,1348488.5,6678,2593
PROD_00400,Persevering background functionalities,Furniture,1343677.5,6675,2571
PROD_00127,Front-line impactful capability,Automotive,1337942.1,6744,2592
PROD_00046,User-friendly next generation monitoring,Jewelry,1337038.8,7023,2700
PROD_00332,Public-key well-modulated solution,Clothing,1332324.0,6682,2532
PROD_00079,Robust interactive data-warehouse,Electronics,1323705.6,6860,2633
PROD_00412,Robust disintermediate strategy,Furniture,1323494.6,7035,2693
PROD_00372,Self-enabling optimizing protocol,Health & Beauty,1319226.6,6739,2606
PROD_00487,Synergistic web-enabled success,Electronics,1318199.0,6731,2613
PROD_00431,Managed neutral task-force,Furniture,1314483.6,6733,2593
PROD_00142,Fully-configurable holistic forecast,Food & Beverages,1310584.1,6779,2608
PROD_00289,Object-based transitional customer loyalty,Office Supplies,1308597.6,6870,2665
PROD_00473,Innovative scalable interface,Home & Garden,1307195.4,6717,2565
PROD_00397,Open-source system-worthy methodology,Electronics,1305612.1,6595,2545
PROD_00246,Distributed discrete info-mediaries,Jewelry,1305410.4,7024,2657
PROD_00407,Self-enabling leadingedge task-force,Electronics,1305205.2,6680,2556
PROD_00163,Multi-layered optimal neural-net,Pet Supplies,1301453.2,6853,2607
PROD_00007,Cross-group didactic emulation,Health & Beauty,1296741.2,6986,2704
PROD_00358,Reverse-engineered interactive function,Tools & Hardware,1292558.5,6883,2672
PROD_00274,User-friendly needs-based application,Electronics,1289762.9,7026,2726
PROD_00292,Total zero administration framework,Food & Beverages,1277180.9,6808,2660
PROD_00033,Robust scalable concept,Automotive,1276109.0,6811,2621
PROD_00136,Innovative logistical functionalities,Pet Supplies,1271102.6,6866,2624
PROD_00261,Mandatory static service-desk,Sports & Outdoors,1265916.1,6951,2660
PROD_00429,Pre-emptive coherent knowledge user,Jewelry,1253920.0,6800,2587
PROD_00011,Operative directional knowledge user,Tools & Hardware,1253828.0,6745,2608
PROD_00281,Customizable non-volatile data-warehouse,Books & Media,1251236.1,6867,2642
PROD_00313,Multi-channeled empowering Graphical User Interface,Clothing,1241820.4,6756,2629
PROD_00002,User-centric even-keeled encryption,Books & Media,1234011.5,6856,2656
PROD_00329,Integrated eco-centric emulation,Books & Media,1231880.4,7092,2734
PROD_00174,Synchronized user-facing workforce,Food & Beverages,1231291.2,7044,2705
PROD_00089,Triple-buffered responsive approach,Jewelry,1225202.9,6908,2658
PROD_00164,Digitized intermediate capacity,Food & Beverages,1224008.9,6758,2585
PROD_00470,Persistent executive service-desk,Electronics,1220868.4,6974,2657
PROD_00004,Customer-focused systematic support,Health & Beauty,1216968.5,6734,2580
PROD_00219,Exclusive client-server algorithm,Automotive,1201107.6,6771,2608
PROD_00035,Diverse maximized implementation,Food & Beverages,1200793.6,6754,2621
PROD_00314,Grass-roots radical standardization,Baby Products,1199891.6,6730,2610
PROD_00155,Sharable interactive focus group,Toys & Games,1198946.8,6868,2643
PROD_00176,Total bi-directional implementation,Automotive,1198738.6,6736,2632
PROD_00232,Devolved maximized secured line,Toys & Games,1196942.9,6807,2608
PROD_00436,Balanced foreground synergy,Food & Beverages,1194858.9,6654,2568
PROD_00267,Optimized client-driven Local Area Network,Clothing,1194629.4,6897,2677
PROD_00017,Customer-focused background implementation,Toys & Games,1193620.5,6509,2517
PROD_00308,Organized dynamic system engine,Food & Beverages,1190730.1,7001,2692
PROD_00012,Reverse-engineered even-keeled workforce,Home & Garden,1186813.5,6663,2582
PROD_00339,Innovative 24/7 strategy,Books & Media,1184371.1,6705,2614
PROD_00322,Implemented directional initiative,Food & Beverages,1182059.2,6649,2547
PROD_00083,Streamlined holistic intranet,Jewelry,1164993.5,7058,2720
PROD_00153,Fundamental motivating matrix,Automotive,1164202.8,6809,2602
PROD_00385,Function-based 4thgeneration array,Home & Garden,1150116.8,7082,2710
PROD_00270,Persevering fresh-thinking Graphical User Interface,Clothing,1149445.5,6864,2689
PROD_00218,Integrated directional workforce,Baby Products,1143179.0,6776,2622
PROD_00020,Balanced upward-trending knowledgebase,Sports & Outdoors,1140036.8,6932,2668
PROD_00188,Right-sized intermediate hardware,Home & Garden,1139142.4,6838,2628
PROD_00350,Self-enabling systemic application,Electronics,1137655.2,6794,2622
PROD_00119,Implemented didactic approach,Jewelry,1131811.8,6959,2700
PROD_00460,Multi-channeled holistic Internet solution,Home & Garden,1122348.6,6709,2602
PROD_00276,Cloned zero-defect projection,Furniture,1121770.2,7001,2677
PROD_00411,Decentralized 4thgeneration product,Electronics,1112895.9,6871,2619
PROD_00113,Centralized composite implementation,Pet Supplies,1111990.9,6812,2615
PROD_00076,Visionary clear-thinking capacity,Baby Products,1109279.5,6606,2555
PROD_00409,Reactive clear-thinking forecast,Health & Beauty,1104654.9,6924,2656
PROD_00366,Organized system-worthy policy,Automotive,1103592.6,6773,2578
PROD_00210,Robust solution-oriented Graphic Interface,Food & Beverages,1103097.1,6603,2570
PROD_00048,Optimized optimal initiative,Jewelry,1099243.8,6775,2582
PROD_00447,Team-oriented hybrid projection,Pet Supplies,1098285.0,6854,2662
PROD_00226,Streamlined system-worthy ability,Toys & Games,1087252.5,6901,2658
PROD_00209,Optional zero tolerance paradigm,Electronics,1086898.4,6761,2632
PROD_00043,Streamlined modular infrastructure,Furniture,1078173.6,6639,2587
PROD_00348,Customizable asymmetric initiative,Office Supplies,1074412.6,7062,2716
PROD_00158,Fundamental cohesive support,Electronics,1069148.2,6651,2596
PROD_00395,Managed fresh-thinking secured line,Toys & Games,1067902.9,6808,2628
PROD_00293,Synergized radical workforce,Tools & Hardware,1062428.6,7022,2722
PROD_00138,Persevering regional open system,Food & Beverages,1054407.1,6963,2689
PROD_00216,Secured full-range array,Pet Supplies,1053961.9,6732,2609
PROD_00275,Monitored directional projection,Health & Beauty,1043696.7,6852,2627
PROD_00245,Quality-focused attitude-oriented challenge,Tools & Hardware,1043483.5,6464,2521
PROD_00134,Front-line empowering infrastructure,Pet Supplies,1040743.3,7033,2700
PROD_00108,Reactive bandwidth-monitored application,Baby Products,1038843.94,6751,2571
PROD_00059,Future-proofed zero administration project,Clothing,1034218.44,6836,2620
PROD_00093,Pre-emptive didactic moratorium,Furniture,1030715.0,6860,2665
PROD_00371,Fundamental zero tolerance utilization,Home & Garden,1028900.94,6863,2630
PROD_00041,Cloned didactic open system,Toys & Games,1026528.4,7172,2735
PROD_00256,Networked intangible monitoring,Automotive,1024636.6,6830,2634
PROD_00306,Reverse-engineered encompassing Graphic Interface,Health & Beauty,1018574.4,6957,2654
PROD_00052,Distributed responsive complexity,Sports & Outdoors,1015342.2,6606,2571
PROD_00092,Front-line even-keeled secured line,Tools & Hardware,1009434.25,6809,2625
PROD_00085,Fully-configurable directional architecture,Electronics,1001076.44,6734,2612
PROD_00365,Diverse 24hour installation,Electronics,991954.2,6797,2640
PROD_00057,Synergized uniform budgetary management,Toys & Games,990516.06,6618,2538
PROD_00449,Public-key homogeneous functionalities,Clothing,987986.1,6629,2522
PROD_00418,Implemented multimedia strategy,Health & Beauty,974392.25,6746,2613
PROD_00255,Multi-channeled exuding system engine,Home & Garden,970856.2,6803,2613
PROD_00341,Balanced actuating neural-net,Baby Products,966807.0,6675,2579
PROD_00241,Pre-emptive responsive encoding,Automotive,964411.3,6658,2544
PROD_00488,Visionary stable software,Tools & Hardware,960210.75,6763,2608
PROD_00477,Multi-tiered object-oriented help-desk,Jewelry,955675.94,6774,2586
PROD_00135,De-engineered static project,Electronics,954182.6,6819,2674
PROD_00311,Assimilated modular Graphic Interface,Toys & Games,949144.9,6822,2628
PROD_00190,Optional real-time migration,Tools & Hardware,944199.25,6897,2620
PROD_00333,Enterprise-wide content-based data-warehouse,Home & Garden,942175.7,6816,2639
PROD_00036,Future-proofed scalable solution,Food & Beverages,940094.1,6612,2548
PROD_00328,Total logistical flexibility,Office Supplies,928680.06,6815,2619
PROD_00291,Self-enabling dynamic benchmark,Books & Media,926568.8,6807,2663
PROD_00008,Profit-focused real-time algorithm,Furniture,921911.75,7084,2705
PROD_00390,Enhanced methodical model,Books & Media,898529.0,6859,2634
PROD_00212,Synergistic didactic migration,Health & Beauty,894670.06,6593,2535
PROD_00340,Public-key clear-thinking focus group,Food & Beverages,890246.94,6521,2519
PROD_00124,Diverse analyzing migration,Toys & Games,889997.75,6896,2686
PROD_00277,Balanced web-enabled algorithm,Clothing,888919.56,6497,2536
PROD_00381,Future-proofed motivating moratorium,Books & Media,882061.9,6697,2593
PROD_00478,Re-engineered explicit standardization,Food & Beverages,881771.7,6486,2503
PROD_00122,Centralized actuating paradigm,Tools & Hardware,880311.4,6740,2585
PROD_00296,Optimized stable hub,Food & Beverages,878935.2,6760,2586
PROD_00485,Multi-channeled directional productivity,Office Supplies,873530.4,7080,2697
PROD_00097,Cross-platform bandwidth-monitored protocol,Furniture,863401.9,6692,2588
PROD_00389,Balanced well-modulated system engine,Electronics,860364.3,6915,2629
PROD_00258,Robust directional matrix,Books & Media,860346.9,6615,2579
PROD_00483,User-friendly modular forecast,Tools & Hardware,853554.5,6748,2566
PROD_00325,Phased neutral moderator,Tools & Hardware,853147.0,6829,2630
PROD_00357,Organized leadingedge framework,Furniture,851154.0,6702,2574
PROD_00283,Visionary holistic concept,Baby Products,844371.0,6857,2615
PROD_00154,Function-based actuating array,Food & Beverages,842414.6,6774,2625
PROD_00251,Expanded intangible info-mediaries,Food & Beverages,833869.4,6964,2649
PROD_00180,Assimilated stable core,Furniture,833185.2,6821,2655
PROD_00203,Reactive clear-thinking core,Toys & Games,831151.8,6705,2595
PROD_00193,Triple-buffered intermediate ability,Books & Media,826226.7,6946,2664
PROD_00172,Assimilated context-sensitive support,Pet Supplies,825051.4,6899,2619
PROD_00437,Phased tertiary workforce,Office Supplies,823267.75,6891,2670
PROD_00099,Open-source maximized superstructure,Furniture,822316.5,7081,2685
PROD_00294,Decentralized non-volatile toolset,Electronics,821440.4,6959,2677
PROD_00191,Customizable human-resource orchestration,Sports & Outdoors,814218.5,7027,2661
PROD_00305,Persistent intermediate superstructure,Home & Garden,810072.1,6763,2616
PROD_00065,Self-enabling exuding productivity,Sports & Outdoors,809816.4,6735,2585
PROD_00377,Integrated radical synergy,Pet Supplies,808684.6,6634,2535
PROD_00198,Managed regional functionalities,Electronics,807593.06,6516,2534
PROD_00195,Up-sized user-facing support,Pet Supplies,802466.3,6854,2627
PROD_00009,Realigned dedicated structure,Office Supplies,798884.9,6627,2584
PROD_00359,Re-contextualized regional approach,Tools & Hardware,797173.7,6961,2691
PROD_00425,Operative global toolset,Tools & Hardware,796928.44,6876,2649
PROD_00223,Re-engineered content-based structure,Clothing,796311.9,6733,2595
PROD_00015,Mandatory even-keeled collaboration,Clothing,795129.44,6841,2608
PROD_00383,Right-sized 6thgeneration Internet solution,Clothing,789772.3,6604,2547
PROD_00475,Innovative dedicated info-mediaries,Sports & Outdoors,785863.0,7006,2703
PROD_00304,Public-key zero-defect matrices,Tools & Hardware,777767.8,6807,2642
PROD_00252,Visionary optimal standardization,Toys & Games,759956.44,6678,2609
PROD_00088,Face-to-face 24hour archive,Office Supplies,757609.25,6829,2643
PROD_00063,Fundamental motivating task-force,Office Supplies,756774.7,6786,2668
PROD_00051,Versatile actuating budgetary management,Home & Garden,747849.5,7028,2691
PROD_00010,Streamlined tangible moratorium,Baby Products,741766.8,6711,2609
PROD_00130,Configurable intangible protocol,Pet Supplies,740407.56,6892,2669
PROD_00103,Customer-focused dynamic core,Sports & Outdoors,733691.2,6779,2625
PROD_00091,Managed asynchronous migration,Clothing,731484.2,6923,2632
PROD_00064,Enhanced motivating benchmark,Sports & Outdoors,730671.6,6585,2566
PROD_00361,Virtual demand-driven product,Jewelry,726638.56,6639,2580
PROD_00069,Progressive 24hour policy,Food & Beverages,722893.56,6869,2653
PROD_00237,Diverse value-added leverage,Baby Products,717511.4,6838,2619
PROD_00337,Cross-platform content-based frame,Food & Beverages,717338.94,6802,2652
PROD_00131,Reduced non-volatile model,Automotive,714935.7,6927,2683
PROD_00049,Multi-lateral directional challenge,Baby Products,711567.3,6618,2548
PROD_00309,Persistent non-volatile pricing structure,Office Supplies,708745.2,6792,2601
PROD_00259,Face-to-face encompassing Internet solution,Automotive,706403.4,6933,2682
PROD_00310,Synchronized homogeneous Graphical User Interface,Pet Supplies,702189.44,6791,2635
PROD_00077,Switchable methodical neural-net,Toys & Games,701166.0,6850,2680
PROD_00466,Proactive optimal circuit,Clothing,698938.1,6772,2600
PROD_00303,Streamlined encompassing pricing structure,Pet Supplies,698931.3,6768,2619
PROD_00272,Versatile intangible extranet,Pet Supplies,697588.94,7135,2757
PROD_00326,Monitored interactive synergy,Sports & Outdoors,694212.0,6640,2591
PROD_00060,Mandatory bifurcated frame,Health & Beauty,690959.6,6633,2575
PROD_00147,Switchable bi-directional challenge,Food & Beverages,689898.2,6789,2575
PROD_00454,Focused value-added array,Automotive,688873.8,6830,2622
PROD_00297,Cloned motivating project,Food & Beverages,683739.94,6761,2597
PROD_00420,Phased dynamic knowledgebase,Automotive,683194.1,6727,2586
PROD_00116,Total upward-trending toolset,Baby Products,682431.25,6917,2675
PROD_00444,Digitized incremental projection,Automotive,677771.6,6820,2660
PROD_00321,Organized 3rdgeneration array,Automotive,676122.3,6741,2586
PROD_00406,Secured web-enabled methodology,Food & Beverages,660725.6,6854,2640
PROD_00354,Virtual intangible portal,Tools & Hardware,657129.9,6715,2611
PROD_00462,Open-source non-volatile software,Jewelry,653651.7,6630,2555
PROD_00121,Centralized value-added functionalities,Pet Supplies,649292.8,6656,2571
PROD_00393,Sharable mobile array,Food & Beverages,646815.25,6805,2601
PROD_00217,Versatile disintermediate service-desk,Office Supplies,643512.3,6918,2639
PROD_00159,Organic neutral strategy,Automotive,641665.2,6637,2583
PROD_00106,Grass-roots maximized encryption,Toys & Games,630000.7,7097,2709
PROD_00382,Proactive leadingedge artificial intelligence,Office Supplies,628360.9,6995,2662
PROD_00087,Reactive discrete parallelism,Electronics,622094.2,6682,2581
PROD_00034,Public-key upward-trending encryption,Toys & Games,619450.25,6592,2562
PROD_00335,Up-sized optimizing task-force,Electronics,619408.25,6839,2599
PROD_00422,Ergonomic radical migration,Jewelry,607698.75,6768,2642
PROD_00213,Phased user-facing concept,Food & Beverages,597704.7,7190,2724
PROD_00331,Intuitive bottom-line synergy,Tools & Hardware,588181.94,7003,2700
PROD_00215,Profound stable productivity,Baby Products,587130.4,7220,2803
PROD_00152,Expanded systemic productivity,Furniture,586319.06,6872,2616
PROD_00194,Programmable national software,Health & Beauty,579536.6,6905,2646
PROD_00481,Re-contextualized systemic time-frame,Office Supplies,574778.2,6951,2642
PROD_00392,Enterprise-wide optimal Internet solution,Food & Beverages,564001.3,6848,2643
PROD_00192,Ergonomic eco-centric analyzer,Office Supplies,563380.0,6628,2577
